#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime

#DATACENTER=IRISPH5,http://ds.iris.edu
ZE|1034||DP2|62.599844|-150.236138|212.4|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1034||DPZ|62.599844|-150.236138|212.4|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1035||DP1|62.606757|-150.22371|197.3|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1035||DP2|62.606757|-150.22371|197.3|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1035||DPZ|62.606757|-150.22371|197.3|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1036||DP1|62.615985|-150.22436|198.1|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1036||DP2|62.615985|-150.22436|198.1|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1036||DPZ|62.615985|-150.22436|198.1|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1037||DP1|62.624283|-150.226994|176.0|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1037||DP2|62.624283|-150.226994|176.0|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1037||DPZ|62.624283|-150.226994|176.0|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1038||DP1|62.632934|-150.227697|194.0|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1038||DP2|62.632934|-150.227697|194.0|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1038||DPZ|62.632934|-150.227697|194.0|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1039||DP1|62.641616|-150.221186|206.5|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1039||DP2|62.641616|-150.221186|206.5|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1039||DPZ|62.641616|-150.221186|206.5|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1040||DP1|62.650559|-150.2233|217.5|0.0|0.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1040||DP2|62.650559|-150.2233|217.5|0.0|90.0|0.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
ZE|1040||DPZ|62.650559|-150.2233|217.5|0.0|0.0|90.0|Geo Space GS-30CT/FairfieldNodal ZLAND 3C|1.02964E9|40.0|M/S|500.0|2019-02-11T00:00:00|2019-03-26T23:59:59
